,Indicator,year,Indicator_no,Total_pregnant_women_registered_ANC,Total_registered_within_first_trimester,Total_registered_under_JSY,Perc_1st_Trimester_regis_to_Total_ANC_regis,Perc_JSY_regis_total_ANC_regis,Total_received_3_ANC_check_ups,Booster_given_numbers,Perc_received_3_ANC_check_ups_to_Total_ANC_regis,Perc_received_Booster_to_Total_ANC_regis,Total_given_100_IFA_tablets,Perc_given_100_IFA_to_Total_ANC_regis,Number_having_Hb_level_11_tested_cases,Number_having_severe_anaemia_Hb_7_treated_at_institutin,Perc_having_severe_anaemia_Hb7_treated_at_institution_to_women_having_hb_level_11,Perc_New_cases_detected_at_institution_for_hypertension_to_Total_ANC_regis,Total_home_deliveries,home_deliveries_attended_by_SBA_trained_Doctor_Nurse,home_deliveries_attended_by_Non_SBA_trained,Perc_SBA_attended_home_deliveries_to_Total_Reported_Home_Deliveries,Mothers_paid_JSY_incentive_for_home_deliveries,Perc_Mothers_paid_JSY_incentive_for_home_deliveries_to_Total_Reported_Home_Deliveries,Deliveries_Conducted_at_Public_Institutions,Institutional_deliveries_Public_Insts_Pvt_Insts,Perc_Institutional_Deliveries_to_total_ANC_registration,Total_reported_deliveries,Perc_Institutional_deliveries_to_Total_Reported_Deliveries,Perc_Safe_deliveries_to_Total_Reported_Deliveries,Perc_Home_deliveries_to_Total_Reported_Deliveries,Number_of_C_section_deliveries_conducted_at_public_facilities,Number_of_C_section_deliveries_conducted_at_private_facilities,Perc_C_section_deliveries_institutional_to_reported_institutional_deliveries,Perc_C_sections_conducted_at_public_facilities_to_Deliveries_conducted_at_public_facilities,Perc_C_sections_conducted_at_Private_facilities_to_Deliveries_conducted_at_private_facilities,Perc_Deliveries_conducted_at_Public_Institutions_to_Total_Institutional_Deliveries,Perc_Deliveries_conducted_at_Private_Institutions_to_Total_Institutional_Deliveries,Total_reported_live_births,Perc_Total_Live_Births_to_Total_Deliveries,Total_Number_of_reported_Still_Births,Perc_Live_birth_to_Reported.Birth,Number_of_Newborns_weighed_at_birth,Perc_Newborns_weighed_at_birth_to_live_birth,Number_of_Newborns_having_weight_less_than_2.5.kg,Perc_Newborns_having_weight_less_than_2.5.kg_to_Newborns_weighed_at_birth
1671,Ulliyeri CHC Area,2015-16,8,1938,1682,1932,86.8,99.7,1767,948,91.2,48.9,1162,60,289,0,0,1.5,1,1,0,100,0,0,0,288,14.9,289,99.7,100,0.3,0,135,46.9,NA,46.9,0,100,290,100.3,1,99.7,290,100,16,5.5
1681,Valayam BPHC Area,2015-16,8,2363,1863,2363,78.8,100,2176,790,92.1,33.4,2067,87.5,198,0,0,2.1,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
1691,W and C Hospital Calicut,2015-16,8,1357,775,1293,57.1,95.3,1166,3657,85.9,269.5,1785,131.5,175,12,6.9,9.4,1,1,0,100,0,0,4321,8201,604.3,8202,100,100,0,1960,2319,52.2,45.4,59.8,52.7,47.3,8258,100.7,3,100,8258,100,617,7.5
1711,Chungathara BPHCArea,2015-16,9,5638,4824,4691,85.6,83.2,5012,2807,88.9,49.8,5255,93.2,798,10,1.3,0.6,39,1,38,2.6,1,2.6,0,1745,31,1784,97.8,97.9,2.2,0,518,29.7,NA,29.7,0,100,1784,100,3,99.8,1784,100,160,9
1721,District Hospital Manjeri,2015-16,9,2876,2098,827,72.9,28.8,1876,2719,65.2,94.5,2680,93.2,977,74,7.6,14.8,13,0,13,0,0,0,2893,8252,286.9,8265,99.8,99.8,0.2,520,1691,26.8,18,31.6,35.1,64.9,8311,100.6,22,99.7,8311,100,1052,12.7
1731,Edavanna BPHCArea,2015-16,9,5222,4549,4194,87.1,80.3,4209,2121,80.6,40.6,4769,91.3,494,0,0,1,16,0,16,0,0,0,0,770,14.7,786,98,98,2,0,254,33,NA,33,0,100,788,100.3,0,100,788,100,50,6.3
1741,Kondotty BPHCArea,2015-16,9,5350,4056,4225,75.8,79,4407,3068,82.4,57.3,4351,81.3,467,18,3.9,4.5,7,1,6,14.3,1,14.3,0,5410,101.1,5417,99.9,99.9,0.1,0,907,16.8,NA,16.8,0,100,5397,99.6,21,99.6,5397,100,316,5.9
1751,Kuttippuram BPHCArea,2015-16,9,4886,3907,1073,80,22,4295,3394,87.9,69.5,4113,84.2,490,6,1.2,1.1,6,0,6,0,0,0,0,3836,78.5,3842,99.8,99.8,0.2,0,1384,36.1,NA,36.1,0,100,3850,100.2,4,99.9,3804,98.8,217,5.7
1761,Mankada BPHCArea,2015-16,9,7507,6065,2278,80.8,30.3,6356,7221,84.7,96.2,6808,90.7,746,15,2,0.5,10,4,6,40,0,0,0,2269,30.2,2279,99.6,99.7,0.4,0,1359,59.9,NA,59.9,0,100,2257,99,76,96.7,2257,100,433,19.2
1771,Marancherry BPHCArea,2015-16,9,3402,2858,1113,84,32.7,2866,1825,84.2,53.6,3025,88.9,2266,0,0,2.4,1,1,0,100,0,0,0,1884,55.4,1885,99.9,100,0.1,0,543,28.8,NA,28.8,0,100,1893,100.4,1,99.9,1893,100,150,7.9
1781,Melattur BPHCArea,2015-16,9,5764,4706,3962,81.6,68.7,4708,7258,81.7,125.9,7892,136.9,2060,6,0.3,11.4,7,0,7,0,0,0,0,4762,82.6,4769,99.9,99.9,0.1,0,2639,55.4,NA,55.4,0,100,4833,101.3,32,99.3,4833,100,782,16.2
1791,Neduva BPHCArea,2015-16,9,6616,5198,2425,78.6,36.7,5680,4312,85.9,65.2,4627,69.9,215,0,0,0.3,13,1,12,7.7,0,0,0,6811,102.9,6824,99.8,99.8,0.2,0,1651,24.2,NA,24.2,0,100,6860,100.5,16,99.8,6860,100,653,9.5
1801,Ommannur BPHCArea,2015-16,9,4471,3710,4119,83,92.1,3972,2367,88.8,52.9,3821,85.5,386,0,0,0.9,6,0,6,0,1,16.7,0,428,9.6,434,98.6,98.6,1.4,0,52,12.1,NA,12.1,0,100,431,99.3,3,99.3,424,98.4,22,5.2
1811,Pookottur BPHCArea,2015-16,9,6220,4773,2562,76.7,41.2,5023,6450,80.8,103.7,11367,182.7,2499,253,10.1,30.9,22,3,19,13.6,0,0,0,6859,110.3,6881,99.7,99.7,0.3,0,1675,24.4,NA,24.4,0,100,6899,100.3,54,99.2,6815,98.8,1037,15.2
1821,THQH Malappuram,2015-16,9,436,248,47,56.9,10.8,284,7662,65.1,1757.3,492,112.8,1626,96,5.9,32.6,NA,NA,NA,NA,NA,NA,885,8518,1953.7,8518,100,100,0,270,1904,25.5,30.5,24.9,10.4,89.6,8514,100,20,99.8,8161,95.9,639,7.8
1831,THQH Nilambur,2015-16,9,88,76,40,86.4,45.5,71,1528,80.7,1736.4,1252,1422.7,1063,0,0,125,NA,NA,NA,NA,NA,NA,3583,3729,4237.5,3729,100,100,0,999,68,28.6,27.9,46.6,96.1,3.9,3740,100.3,3,99.9,3740,100,399,10.7
1841,THQH Perinthalmanna,2015-16,9,181,145,72,80.1,39.8,175,4408,96.7,2435.4,1835,1013.8,795,151,19,139.8,1,0,1,0,0,0,3608,7526,4158,7527,100,100,0,1748,994,36.4,48.4,25.4,47.9,52.1,7536,100.1,25,99.7,7536,100,600,8
1851,THQH Ponnani,2015-16,9,1136,892,879,78.5,77.4,1011,949,89,83.5,978,86.1,1082,78,7.2,4.4,0,0,0,NA,0,NA,1635,1635,143.9,1635,100,100,0,693,NA,42.4,42.4,NA,100,0,1646,100.7,0,100,1646,100,109,6.6
1861,THQH Thiruurangadi,2015-16,9,170,136,56,80,32.9,155,4758,91.2,2798.8,555,326.5,638,227,35.6,201.2,NA,NA,NA,NA,NA,NA,351,8300,4882.4,8300,100,100,0,53,2385,29.4,15.1,30,4.2,95.8,8351,100.6,34,99.6,8351,100,1056,12.6
1871,THQH Tiruur,2015-16,9,1647,1181,358,71.7,21.7,1334,652,81,39.6,1265,76.8,68,113,166.2,0.1,1,0,1,0,0,0,1896,1896,115.1,1897,99.9,99.9,0.1,644,NA,34,34,NA,100,0,1896,99.9,5,99.7,1896,100,107,5.6
1881,Thavanur BPHCArea,2015-16,9,3043,2696,1060,88.6,34.8,2776,1584,91.2,52.1,2325,76.4,56,5,8.9,2.5,1,0,1,0,0,0,215,3864,127,3865,100,100,0,122,1596,44.5,56.7,43.7,5.6,94.4,3960,102.5,33,99.2,3959,100,905,22.9
1891,Valavannur BPHCArea,2015-16,9,7554,5957,3076,78.9,40.7,6523,2161,86.4,28.6,6888,91.2,237,0,0,0.4,38,2,36,5.3,0,0,0,1226,16.2,1264,97,97.2,3,0,331,27,NA,27,0,100,1263,99.9,1,99.9,1263,100,144,11.4
1901,Vengara BPHCArea,2015-16,9,7840,6163,900,78.6,11.5,6501,1644,82.9,21,6759,86.2,157,0,0,2.6,17,3,14,17.6,0,0,0,999,12.7,1016,98.3,98.6,1.7,0,117,11.7,NA,11.7,0,100,1014,99.8,3,99.7,1014,100,85,8.4
1911,Vettom BPHCArea,2015-16,9,4997,3981,1974,79.7,39.5,3291,1547,65.9,31,4012,80.3,595,9,1.5,5.3,3,0,3,0,0,0,0,1361,27.2,1364,99.8,99.8,0.2,0,497,36.5,NA,36.5,0,100,1384,101.5,8,99.4,1384,100,236,17.1
1921,Wandoor BPHCArea,2015-16,9,7261,5900,7104,81.3,97.8,6478,4678,89.2,64.4,6840,94.2,594,44,7.4,3,9,0,9,0,1,11.1,83,4240,58.4,4249,99.8,99.8,0.2,0,1155,27.2,0,27.8,2,98,4260,100.3,6,99.9,4259,100,338,7.9
1941,Agali CHCArea,2015-16,10,998,685,905,68.6,90.7,1095,578,109.7,57.9,855,85.7,103,0,0,0.9,23,1,22,4.3,1,4.3,4,116,11.6,139,83.5,84.2,16.5,0,39,33.6,0,34.8,3.4,96.6,136,97.8,3,97.8,136,100,32,23.5
1951,Alanellur CHCArea,2015-16,10,5880,4248,2755,72.2,46.9,5058,3745,86,63.7,1843,31.3,259,0,0,0.4,22,5,17,22.7,0,0,0,5014,85.3,5036,99.6,99.7,0.4,0,1595,31.8,NA,31.8,0,100,5069,100.7,7,99.9,5069,100,587,11.6
1961,Ambalappara CHCArea,2015-16,10,2126,1692,822,79.6,38.7,1923,2180,90.5,102.5,1988,93.5,159,4,2.5,1.6,1,0,1,0,0,0,0,3398,159.8,3399,100,100,0,0,1090,32.1,NA,32.1,0,100,3421,100.6,10,99.7,3421,100,396,11.6
1971,Chalavara CHCArea,2015-16,10,2432,1600,752,65.8,30.9,2171,1552,89.3,63.8,2127,87.5,116,0,0,0.1,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
1981,Chalissery CHCArea,2015-16,10,3522,2776,1207,78.8,34.3,3019,3072,85.7,87.2,2516,71.4,301,5,1.7,5.3,0,0,0,NA,0,NA,0,2263,64.3,2263,100,100,0,0,532,23.5,NA,23.5,0,100,2265,100.1,9,99.6,2237,98.8,196,8.8
1991,District Hospital Palakkad,2015-16,10,1182,739,512,62.5,43.3,717,999,60.7,84.5,761,64.4,2245,63,2.8,29.5,0,0,0,NA,0,NA,5629,13421,1135.4,13421,100,100,0,2107,2956,37.7,37.4,37.9,41.9,58.1,13489,100.5,25,99.8,13489,100,1349,10
2001,Katampazhipuram CHCArea,2015-16,10,2777,2439,1495,87.8,53.8,2346,2770,84.5,99.7,2184,78.6,729,4,0.5,0.2,3,2,1,66.7,0,0,0,1160,41.8,1163,99.7,99.9,0.3,0,298,25.7,NA,25.7,0,100,1163,100,2,99.8,1163,100,79,6.8
2011,Koduvayoor CHCArea,2015-16,10,3310,2888,2357,87.3,71.2,3078,2862,93,86.5,2935,88.7,128,0,0,0.4,11,2,9,18.2,0,0,2,291,8.8,302,96.4,97,3.6,0,144,49.5,0,49.8,0.7,99.3,302,100,2,99.3,302,100,63,20.9
2021,Kongad CHCArea,2015-16,10,2565,2183,1029,85.1,40.1,2318,1960,90.4,76.4,2129,83,717,0,0,1.2,5,0,5,0,0,0,0,0,0,5,0,0,100,0,0,NA,NA,NA,NA,NA,5,100,0,100,5,100,2,40
2031,Koppam CHCArea,2015-16,10,4534,3466,1586,76.4,35,3969,4489,87.5,99,3937,86.8,1842,0,0,0.7,4,0,4,0,0,0,0,2466,54.4,2470,99.8,99.8,0.2,0,805,32.6,NA,32.6,0,100,2479,100.4,3,99.9,2479,100,304,12.3
2041,Kozhinjanpara CHC Area,2015-16,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2051,Kuzhalmannam CHCArea,2015-16,10,2959,2400,1389,81.1,46.9,2512,2372,84.9,80.2,1515,51.2,188,0,0,0.3,8,2,6,25,0,0,0,1008,34.1,1016,99.2,99.4,0.8,0,425,42.2,NA,42.2,0,100,1029,101.3,4,99.6,1029,100,180,17.5
2061,Nanniyode CHCArea,2015-16,10,1808,1506,1630,83.3,90.2,1653,1472,91.4,81.4,861,47.6,24,0,0,0.7,6,1,5,16.7,0,0,0,476,26.3,482,98.8,99,1.2,0,184,38.7,NA,38.7,0,100,482,100,0,100,481,99.8,62,12.9
2071,Nemmara CHCArea,2015-16,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2081,Parli CHCArea,2015-16,10,1627,1336,851,82.1,52.3,1568,1241,96.4,76.3,439,27,141,0,0,0.9,2,0,2,0,0,0,0,76,4.7,78,97.4,97.4,2.6,0,40,52.6,NA,52.6,0,100,76,97.4,2,97.4,76,100,2,2.6
2091,Pazhampalakkode CHCArea,2015-16,10,2618,2318,1127,88.5,43,2416,1490,92.3,56.9,1338,51.1,322,0,0,0.3,2,0,2,0,0,0,0,1,0,3,33.3,33.3,66.7,0,1,100,NA,100,0,100,3,100,0,100,3,100,2,66.7
2101,Shornur CHC Area,2015-16,10,7,4,4,57.1,57.1,0,2,0,28.6,0,0,1,NA,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
2111,THQH Alathoor,2015-16,10,0,0,0,NA,NA,0,544,NA,NA,244,NA,154,7,4.5,NA,NA,NA,NA,NA,NA,NA,526,1338,NA,1338,100,100,0,145,247,29.3,27.6,30.4,39.3,60.7,1344,100.4,2,99.9,1344,100,151,11.2
2121,THQH Chittur,2015-16,10,241,168,159,69.7,66,266,200,110.4,83,180,74.7,376,16,4.3,0,0,0,0,NA,0,NA,77,77,32,77,100,100,0,25,0,32.5,32.5,NA,100,0,77,100,0,100,77,100,15,19.5
2131,THQH Mannarkkad,2015-16,10,0,0,0,NA,NA,0,502,NA,NA,257,NA,186,0,0,NA,NA,NA,NA,NA,NA,NA,916,1060,NA,1060,100,100,0,389,101,46.2,42.5,70.1,86.4,13.6,1059,99.9,7,99.3,1051,99.2,159,15.1
2141,THQH Ottappalam,2015-16,10,78,58,11,74.4,14.1,42,1772,53.8,2271.8,23,29.5,99,0,0,5.1,1,0,1,0,0,0,1835,4665,5980.8,4666,100,100,0,625,981,34.4,34.1,34.7,39.3,60.7,4703,100.8,1,100,4703,100,547,11.6
2151,THQH Pattambi,2015-16,10,0,0,0,NA,NA,0,21,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,12,12,NA,12,100,100,0,0,NA,0,0,NA,100,0,12,100,0,100,12,100,3,25
2161,Vadakkencherry CHCArea,2015-16,10,2335,1925,889,82.4,38.1,2208,1514,94.6,64.8,382,16.4,116,0,0,0.3,7,0,7,0,1,14.3,0,0,0,7,0,0,100,0,0,NA,NA,NA,NA,NA,7,100,0,100,6,85.7,4,66.7
2181,Chathenkery CHCArea,2015-16,11,1215,985,967,81.1,79.6,1148,658,94.5,54.2,1139,93.7,29,0,0,0.9,0,0,0,NA,0,NA,0,536,44.1,536,100,100,0,0,187,34.9,NA,34.9,0,100,541,100.9,1,99.8,541,100,64,11.8
2191,Dist Hosp Kozhencherry,2015-16,11,142,118,64,83.1,45.1,138,1354,97.2,953.5,125,88,306,0,0,18.3,NA,NA,NA,NA,NA,NA,514,1595,1123.2,1595,100,100,0,230,805,64.9,44.7,74.5,32.2,67.8,1607,100.8,2,99.9,1607,100,184,11.4
2201,Elanthoor CHCArea,2015-16,11,1251,979,1231,78.3,98.4,1331,490,106.4,39.2,1231,98.4,27,0,0,1.6,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
2211,Enadimangalam CHCArea,2015-16,11,2534,2009,2533,79.3,100,2311,2207,91.2,87.1,2700,106.6,238,1,0.4,2.6,1,0,1,0,0,0,0,2385,94.1,2386,100,100,0,0,1687,70.7,NA,70.7,0,100,2478,103.9,4,99.8,2478,100,448,18.1
2221,Ezhumattoor CHCArea,2015-16,11,568,414,427,72.9,75.2,533,244,93.8,43,513,90.3,8,0,0,0.2,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,1,0,0,NA,0,NA
2231,GH Adoor,2015-16,11,45,30,45,66.7,100,53,492,117.8,1093.3,43,95.6,901,11,1.2,8.9,NA,NA,NA,NA,NA,NA,1001,1001,2224.4,1001,100,100,0,420,NA,42,42,NA,100,0,1001,100,0,100,1001,100,154,15.4
2241,General Hosp Pathanamthitta,2015-16,11,166,108,166,65.1,100,402,304,242.2,183.1,415,250,44,10,22.7,15.7,NA,NA,NA,NA,NA,NA,1220,2170,1307.2,2170,100,100,0,805,658,67.4,66,69.3,56.2,43.8,2189,100.9,1,100,2189,100,212,9.7
2251,Kanjeettukara CHCArea,2015-16,11,558,439,554,78.7,99.3,589,176,105.6,31.5,504,90.3,14,0,0,1.4,0,0,0,NA,0,NA,0,8,1.4,8,100,100,0,0,1,12.5,NA,12.5,0,100,8,100,0,100,7,87.5,1,14.3
2261,Konni CHCArea,2015-16,11,1476,1203,1469,81.5,99.5,1475,638,99.9,43.2,1459,98.8,36,0,0,0.7,0,0,0,NA,0,NA,0,82,5.6,82,100,100,0,0,55,67.1,NA,67.1,0,100,83,101.2,0,100,83,100,3,3.6
2271,Kunnanthanam BPHC Area,2015-16,11,1259,988,1257,78.5,99.8,1153,554,91.6,44,1109,88.1,34,0,0,1.3,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
2281,THQH Tiruvalla,2015-16,11,223,178,90,79.8,40.4,211,2026,94.6,908.5,190,85.2,60,3,5,1.3,0,0,0,NA,0,NA,376,3651,1637.2,3651,100,100,0,181,1700,51.5,48.1,51.9,10.3,89.7,3707,101.5,16,99.6,3707,100,502,13.5
2291,Thumpamon CHCArea,2015-16,11,718,563,718,78.4,100,659,1249,91.8,174,652,90.8,55,0,0,12,0,0,0,NA,0,NA,0,1716,239,1716,100,100,0,0,1064,62,NA,62,0,100,1728,100.7,5,99.7,1728,100,172,10
2301,Vallana CHCArea,2015-16,11,704,559,584,79.4,83,706,233,100.3,33.1,684,97.2,30,0,0,1.1,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
2311,Vechoochira CHCArea,2015-16,11,1770,1531,1720,86.5,97.2,1888,1185,106.7,66.9,1709,96.6,39,0,0,0.3,8,1,7,12.5,1,12.5,269,470,26.6,478,98.3,98.5,1.7,101,131,49.4,37.5,65.2,57.2,42.8,479,100.2,0,100,479,100,59,12.3
2331,Anchuthengu CHCArea,2015-16,12,1272,1092,1272,85.8,100,1238,348,97.3,27.4,357,28.1,5,0,0,0.2,1,0,1,0,0,0,0,0,0,1,0,0,100,0,0,NA,NA,NA,NA,NA,1,100,0,100,0,0,0,NA
2341,Ayurveda College Hospital For Women and Children P,2015-16,12,70,45,18,64.3,25.7,46,30,65.7,42.9,70,100,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,539,770,539,100,100,0,0,314,58.3,NA,58.3,0,100,539,100,0,100,539,100,6,1.1
2351,CHC Attingal,2015-16,12,652,424,652,65,100,612,874,93.9,134,4,0.6,2,0,0,0.3,NA,NA,NA,NA,NA,NA,0,1130,173.3,1130,100,100,0,0,472,41.8,NA,41.8,0,100,1172,103.7,0,100,1172,100,2,0.2
2361,CHC Fort Hospital,2015-16,12,876,520,856,59.4,97.7,972,854,111,97.5,968,110.5,12,0,0,0,NA,NA,NA,NA,NA,NA,0,1574,179.7,1574,100,100,0,0,836,53.1,NA,53.1,0,100,1581,100.4,0,100,1581,100,65,4.1
2371,CHC Nemom,2015-16,12,238,166,238,69.7,100,200,220,84,92.4,220,92.4,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
2381,CHC Palode,2015-16,12,20,19,20,95,100,22,51,110,255,19,95,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
2391,CHC Varkala,2015-16,12,972,662,540,68.1,55.6,802,1766,82.5,181.7,794,81.7,137,31,22.6,5.1,NA,NA,NA,NA,NA,NA,0,313,32.2,313,100,100,0,0,146,46.6,NA,46.6,0,100,1153,368.4,0,100,1153,100,105,9.1
2401,District Model Hospital Peroorkada,2015-16,12,121,16,10,13.2,8.3,60,945,49.6,781,57,47.1,123,2,1.6,77.7,NA,NA,NA,NA,NA,NA,712,1807,1493.4,1807,100,100,0,272,798,59.2,38.2,72.9,39.4,60.6,1815,100.4,1,99.9,1815,100,106,5.8
2411,General Hospital Thiruvananthapuram,2015-16,12,1528,758,676,49.6,44.2,1464,213,95.8,13.9,495,32.4,46,0,0,0.5,1,0,1,0,0,0,0,0,0,1,0,0,100,0,NA,NA,NA,NA,NA,NA,1,100,0,100,1,100,1,100
2421,Kallara CHCArea,2015-16,12,1038,945,972,91,93.6,1025,444,98.7,42.8,1053,101.4,28,0,0,0.8,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
2431,Kanyakulangara CHCArea,2015-16,12,2155,1736,1898,80.6,88.1,1964,841,91.1,39,1444,67,15,0,0,1.1,0,0,0,NA,0,NA,199,199,9.2,199,100,100,0,38,0,19.1,19.1,NA,100,0,181,91,0,100,181,100,15,8.3
2441,Kesavapuram CHC Area,2015-16,12,3020,2746,2994,90.9,99.1,2722,1109,90.1,36.7,2303,76.3,10,0,0,0.2,2,1,1,50,0,0,1,128,4.2,130,98.5,99.2,1.5,0,37,28.9,0,29.1,0.8,99.2,129,99.2,1,99.2,129,100,0,0
2451,MCH Unit Pangappara,2015-16,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2461,Manamboor CHC Area,2015-16,12,3617,2687,2103,74.3,58.1,3090,1066,85.4,29.5,4383,121.2,184,3,1.6,2.6,4,0,4,0,0,0,0,652,18,656,99.4,99.4,0.6,0,378,58,NA,58,0,100,690,105.2,0,100,689,99.9,131,19
2471,Perumkadavilla CHC Area,2015-16,12,1592,1448,1416,91,88.9,1422,545,89.3,34.2,1042,65.5,16,0,0,1.6,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
2481,Poonthura CHC Area,2015-16,12,1457,1085,1251,74.5,85.9,1513,398,103.8,27.3,912,62.6,59,0,0,1.9,0,0,0,NA,0,NA,0,2276,156.2,2276,100,100,0,0,1075,47.2,NA,47.2,0,100,2310,101.5,0,100,2310,100,258,11.2
2491,Poovar CHC Area,2015-16,12,2445,2208,2243,90.3,91.7,2217,1039,90.7,42.5,512,20.9,19,0,0,0.2,0,0,0,NA,0,NA,0,29,1.2,29,100,100,0,0,0,0,NA,0,0,100,29,100,0,100,29,100,2,6.9
2501,Pulluvilla CHC Area,2015-16,12,731,643,731,88,100,773,329,105.7,45,579,79.2,58,0,0,1.5,1,1,0,100,1,100,0,17,2.3,18,94.4,100,5.6,0,14,82.4,NA,82.4,0,100,18,100,0,100,18,100,0,0
2511,Puthenthope CHC Area,2015-16,12,2893,2331,1201,80.6,41.5,2749,975,95,33.7,2562,88.6,32,0,0,0.4,2,1,1,50,0,0,0,506,17.5,508,99.6,99.8,0.4,0,174,34.4,NA,34.4,0,100,508,100,0,100,508,100,46,9.1
2521,SAT Hospital Thiruvananthapuram,2015-16,12,101,53,95,52.5,94.1,83,4531,82.2,4486.1,0,0,3516,166,4.7,795,NA,NA,NA,NA,NA,NA,9091,13817,3680.2,13817,100,100,0,3768,2584,46,41.4,54.7,65.8,34.2,13887,100.5,249,98.2,13887,100,4054,29.2
2531,Taluk Hospital Chirayinkeezhu,2015-16,12,61,57,59,93.4,96.7,63,1055,103.3,1729.5,901,1477,0,0,NA,104.9,NA,NA,NA,NA,NA,NA,2120,2288,3750.8,2288,100,100,0,689,51,32.3,32.5,30.4,92.7,7.3,2294,100.3,0,100,2294,100,358,15.6
2541,Taluk Hospital Nedumangadu,2015-16,12,415,258,415,62.2,100,262,1469,63.1,354,863,208,718,0,0,11.1,NA,NA,NA,NA,NA,NA,1737,2148,517.6,2148,100,100,0,685,170,39.8,39.4,41.4,80.9,19.1,2148,100,2,99.9,2148,100,121,5.6
2551,Taluk Hospital Neyyattinkara,2015-16,12,182,132,160,72.5,87.9,157,1551,86.3,852.2,345,189.6,0,0,NA,0,NA,NA,NA,NA,NA,NA,1386,1900,1044,1900,100,100,0,592,297,46.8,42.7,57.8,72.9,27.1,1906,100.3,0,100,1906,100,271,14.2
2561,Taluk Hospital Parassala,2015-16,12,265,145,166,54.7,62.6,204,227,77,85.7,161,60.8,935,30,3.2,0.4,NA,NA,NA,NA,NA,NA,955,1012,381.9,1012,100,100,0,396,44,43.5,41.5,77.2,94.4,5.6,1015,100.3,0,100,1013,99.8,105,10.4
2571,Vakkom CHC Area,2015-16,12,1058,950,648,89.8,61.2,1025,159,96.9,15,797,75.3,12,0,0,1,0,0,0,NA,0,NA,0,320,30.2,320,100,100,0,0,183,57.2,NA,57.2,0,100,320,100,1,99.7,320,100,0,0
2581,Vamanapuram BPHC Area,2015-16,12,1342,1202,1250,89.6,93.1,1391,1141,103.7,85,1345,100.2,30,0,0,0.3,0,0,0,NA,0,NA,0,1518,113.1,1518,100,100,0,0,584,38.5,NA,38.5,0,100,1517,99.9,3,99.8,1517,100,203,13.4
2591,Vellanad CHC Area,2015-16,12,3018,2002,1510,66.3,50,2442,1371,80.9,45.4,1851,61.3,151,0,0,0,5,1,4,20,0,0,0,341,11.3,346,98.6,98.8,1.4,0,200,58.7,NA,58.7,0,100,345,99.7,1,99.7,345,100,35,10.1
2601,Vellarada CHC Area,2015-16,12,1295,1118,1029,86.3,79.5,1170,1019,90.3,78.7,2330,179.9,233,19,8.2,5.6,3,2,1,66.7,0,0,2,1063,82.1,1066,99.7,99.9,0.3,0,421,39.6,0,39.7,0.2,99.8,1064,99.8,2,99.8,1064,100,0,0
